City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Kayan,MM,16.9056,96.5631,80.74,85,99,6.15,overcast clouds
243,Bulawayo,ZW,-20.15,28.5833,57.96,45,0,6.22,clear sky
244,Salalah,OM,17.0151,54.0924,83.25,86,36,7.81,scattered clouds
245,Komsomolskiy,UZ,40.4272,71.7189,79.52,27,100,4.61,overcast clouds
246,Port-Gentil,GA,-0.7193,8.7815,76.96,78,75,8.05,broken clouds
247,Marzuq,YE,14.4,46.4667,82.92,45,87,5.93,overcast clouds
248,Ponta Do Sol,PT,32.6667,-17.1,74.03,66,41,1.28,scattered clouds
249,Hay River,CA,60.8156,-115.7999,55.38,58,75,9.22,broken clouds
250,Lopatino,RU,52.6195,45.8118,60.69,68,85,5.08,overcast clouds
251,Lagunas,PE,-5.2269,-75.6753,91.13,44,17,1.54,few clouds
252,Nuevo Progreso,MX,23.1667,-97.95,92.53,52,29,4.0,scattered clouds
253,Nizhniy Ingash,RU,56.2,96.53,55.24,88,100,4.5,overcast clouds
254,Kismayo,SO,-0.3582,42.5454,77.79,80,37,12.66,scattered clouds
255,Liberal,US,37.0431,-100.921,94.24,16,0,18.9,clear sky
256,Teacapan,MX,22.55,-105.75,86.45,67,53,10.25,broken clouds
257,Stornoway,GB,58.2093,-6.3865,55.92,67,40,23.02,scattered clouds
258,Guaruja,BR,-23.9931,-46.2564,89.46,29,0,5.75,clear sky
259,Viking,CA,53.1001,-111.7684,62.46,76,100,12.59,overcast clouds
260,Luderitz,NA,-26.6481,15.1594,56.62,89,0,4.97,clear sky
261,Anadyr,RU,64.75,177.4833,54.1,62,40,4.47,scattered clouds
262,Rocha,UY,-34.4833,-54.3333,55.31,53,64,20.18,broken clouds
263,Mandiana,GN,10.6333,-8.6833,81.73,63,69,7.29,light rain
264,Vondrozo,MG,-22.8167,47.2833,55.76,85,0,2.86,clear sky
265,La Plata,AR,-34.9215,-57.9545,54.03,34,10,18.12,clear sky
266,Huilong,CN,31.8111,121.655,75.92,96,84,10.33,broken clouds
267,Hualmay,PE,-11.0964,-77.6139,66.27,70,36,9.06,scattered clouds
268,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,43,0,29.93,clear sky
269,San Patricio,US,28.017,-97.5169,93.29,39,53,13.65,broken clouds
270,Mount Pleasant,US,32.7941,-79.8626,95.99,59,0,10.36,clear sky
271,Sakakah,SA,29.9697,40.2064,103.57,12,0,14.25,clear sky
272,Faanui,PF,-16.4833,-151.75,79.9,72,5,17.72,clear sky
273,La Ronge,CA,55.1001,-105.2842,55.65,71,100,13.8,overcast clouds
274,Cherskiy,RU,68.75,161.3,43.34,57,94,6.24,overcast clouds
275,Seeboden,AT,46.8219,13.495,69.51,64,75,2.48,broken clouds
276,Tomarovka,RU,50.6834,36.2331,65.16,71,99,2.3,overcast clouds
277,Port Pirie,AU,-33.1833,138.0167,50.79,70,0,6.78,clear sky
278,Lucapa,AO,-8.4192,20.7447,73.09,27,24,3.44,few clouds
279,Norman Wells,CA,65.282,-126.8329,62.64,39,20,17.27,few clouds
280,Souillac,MU,-20.5167,57.5167,68.38,88,20,5.75,few clouds
281,Bethel,US,41.3712,-73.414,89.15,55,44,4.0,scattered clouds
282,Jaisalmer,IN,26.9147,70.9181,89.58,51,0,25.39,clear sky
283,Hami,CN,42.8,93.45,79.81,20,87,18.43,overcast clouds
284,Shache,CN,38.4167,77.2406,78.89,18,100,1.54,overcast clouds
285,Awjilah,LY,29.1081,21.2869,89.38,21,0,10.16,clear sky
286,Magway,MM,20.15,94.9167,80.91,73,100,5.99,overcast clouds
287,Yar-Sale,RU,66.8333,70.8333,53.51,52,68,9.04,broken clouds
288,Umm Lajj,SA,25.0213,37.2685,88.07,52,0,8.79,clear sky
289,Flinders,AU,-34.5833,150.8552,57.18,72,65,7.0,broken clouds
290,Sabzevar,IR,36.2126,57.6819,83.48,28,0,11.5,clear sky
291,Cayenne,GF,4.9333,-52.3333,86.04,11,75,11.5,broken clouds
292,Davila,PH,18.4726,120.5763,82.04,74,91,6.49,overcast clouds
293,Emba,KZ,48.8264,58.1442,73.04,46,95,2.91,overcast clouds
294,Namibe,AO,-15.1961,12.1522,66.83,72,20,12.66,few clouds
295,Fort Nelson,CA,58.8053,-122.7002,56.79,88,75,10.36,broken clouds
296,Bonfim,BR,3.0833,-59.95,85.91,61,21,2.57,few clouds
297,Alta Floresta,BR,-9.8756,-56.0861,93.02,36,40,5.75,scattered clouds
298,Terra Nova,BR,-12.3667,-40.6667,83.23,26,41,3.91,scattered clouds
299,Alice Springs,AU,-23.7,133.8833,44.15,87,16,3.44,few clouds
300,Broome,US,42.2506,-75.833,82.53,51,0,11.01,clear sky
301,Camacha,PT,33.0833,-16.3333,69.22,64,40,16.11,scattered clouds
302,Iqaluit,CA,63.7506,-68.5145,37.13,86,100,16.11,overcast clouds
303,Asfi,MA,32.2994,-9.2372,71.1,76,23,21.63,few clouds
304,Acari,PE,-15.4311,-74.6158,72.09,53,38,9.06,scattered clouds
305,Carbondale,US,37.7273,-89.2168,81.05,78,40,3.44,scattered clouds
306,Bundaberg,AU,-24.85,152.35,52.21,80,1,1.99,clear sky
307,Surt,LY,31.2089,16.5887,76.84,67,0,9.31,clear sky
308,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,88,100,9.22,overcast clouds
309,Rapid Valley,US,44.0625,-103.1463,84.76,54,0,20.0,clear sky
310,Aswan,EG,24.0934,32.907,99.7,15,0,6.91,clear sky
311,Namatanai,PG,-3.6667,152.4333,78.91,81,70,5.84,broken clouds
312,Nouadhibou,MR,20.931,-17.0347,73.38,68,0,25.32,sand
313,Santa Rita,BR,-7.1139,-34.9781,84.87,58,40,8.05,scattered clouds
314,Beloha,MG,-25.1667,45.05,63.61,61,33,3.78,scattered clouds
315,Amuntai,ID,-2.4177,115.2494,72.19,99,86,1.74,overcast clouds
316,Jacareacanga,BR,-6.2222,-57.7528,91.78,34,3,3.62,clear sky
317,Indianola,US,41.3581,-93.5574,85.87,57,47,5.93,scattered clouds
318,Peniche,PT,39.3558,-9.3811,73.29,83,100,10.27,overcast clouds
319,Rovaniemi,FI,66.5,25.7167,54.81,62,100,5.75,overcast clouds
320,Nouakchott,MR,18.0858,-15.9785,85.93,55,45,20.92,scattered clouds
321,Mindelo,CV,16.8901,-24.9804,80.15,57,20,23.02,few clouds
322,Sozimskiy,RU,59.7418,52.2482,56.05,84,87,3.42,overcast clouds
323,Buckeye,US,33.3703,-112.5838,106.12,8,54,8.05,broken clouds
324,Valente,BR,-11.4122,-39.4619,83.23,38,55,6.51,broken clouds
325,Bandarbeyla,SO,9.4942,50.8122,77.97,81,45,28.97,scattered clouds
326,Launceston,AU,-41.45,147.1667,45.16,93,75,6.91,light rain
327,Rioja,AR,-29.4111,-66.8507,68.36,20,2,6.82,clear sky
328,Fairbanks,US,64.8378,-147.7164,69.49,62,34,2.73,scattered clouds
329,Phalombe,MW,-15.8064,35.6507,59.07,92,36,4.79,scattered clouds
330,Seminole,US,28.7086,-81.2081,98.28,62,57,1.99,broken clouds
331,Moron,AR,-34.6534,-58.6198,55.15,40,17,14.83,few clouds
332,Rusape,ZW,-18.5278,32.1284,54.14,79,2,5.26,clear sky
333,Mogok,MM,22.9167,96.5,64.15,98,100,3.13,overcast clouds
334,Victoria,HK,22.2855,114.1577,84.38,86,97,8.99,overcast clouds
335,Necochea,AR,-38.5473,-58.7368,47.61,69,99,27.92,overcast clouds
336,Japura,ID,-0.3167,102.35,73.8,99,96,0.74,overcast clouds
337,Kloulklubed,PW,7.0419,134.2556,82.81,70,86,4.41,overcast clouds
338,Hervey Bay,AU,-25.2986,152.8535,57.11,67,12,10.65,few clouds
339,Vila Velha,BR,-20.3297,-40.2925,80.55,67,0,12.66,clear sky
340,Narsaq,GL,60.9167,-46.05,44.24,70,100,3.18,overcast clouds
341,Klyuchi,RU,52.2667,79.1667,58.57,79,79,7.49,broken clouds
342,Karasburg,NA,-28.0167,18.75,59.41,19,0,9.37,clear sky
343,Honningsvag,NO,70.9821,25.9704,42.55,70,75,8.05,broken clouds
344,Lamont,US,35.2597,-118.9143,77.54,45,93,6.11,overcast clouds
345,Tornio,FI,65.8481,24.1466,60.82,74,68,5.46,broken clouds
346,Fuyang,CN,32.9,115.8167,81.55,53,27,7.09,scattered clouds
